penalty,strategy_name,lambda,eta,m,top_L,alpha,epsilon,inject_prob,ndcg10_mean,ndcg10_std,new_cov_mean,new_cov_std,unique_shown_new_mean,unique_shown_new_std,avg_new_fraction_mean,avg_new_fraction_std,ttf_mean_mean,ttf_mean_std,entropy_stability_mean_mean,entropy_stability_mean_std,entropy_stability_median_mean,entropy_stability_median_std,delta_cov,delta_unique,delta_ttf,delta_ndcg
0.4,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.18130346409941686,0.011427749206118372,0.2502502766028649,0.04043145261969346,53.55,6.422421661647575,0.025365,0.0038606055224536993,1859.9850229088238,21.781988886693124,0.012061224579788175,8.512266752487681e-05,0.011486306512244101,0.0001278491951924807,0.2502502766028649,53.449999999999996,140.0149770911762,0.0004419025360314077
0.4,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.1812156191580549,0.011462654782895456,0.2513853798387936,0.041414283784440224,53.4,5.986651818838307,0.025410000000000005,0.0037756986108533606,1858.1531517161882,24.164002691890257,0.013821307718407524,0.00017647514382385497,0.012390043476039763,0.0004172307288448136,0.2513853798387936,53.3,141.84684828381182,0.00035405759466944353
0.4,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18064644457864762,0.011990700613765866,0.0,0.0,0.15,0.3570714214271425,6.000000000000001e-05,0.00016552945357246846,2000.0,0.0,,,,,0.0,0.04999999999999999,0.0,-0.00021511698473783425
0.4,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.17370684921072466,0.01147938423681466,0.001539114627513815,0.0030827409295009944,0.6,0.5830951894845301,7.500000000000001e-05,8.291561975888501e-05,1999.3282602654058,1.6917419167803216,,,,,0.001539114627513815,0.5,0.6717397345942118,-0.007154712352660797
0.6,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.18084406584663076,0.0119279244679064,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,,,0.0,0.0,0.0,0.0
0.6,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.17855985276924308,0.012003432108102053,0.00909713129996222,0.008616011153072997,1.75,1.0897247358851685,0.00046499999999999997,0.0003259984662540608,1995.9794540645169,4.185278836818568,0.012457413237024356,0.00010877906949178893,0.011771073485290629,0.0002021428972066964,0.00909713129996222,1.75,4.020545935483142,-0.0022842130773876868
0.6,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.17847988718779265,0.012018889032681857,0.010709590695775408,0.006929156959902052,1.75,0.9937303457175896,0.00046999999999999993,0.0003132091952673165,1995.9706200054777,4.576613806417158,0.014300641026157052,0.00014299179655391557,0.0132713954664937,0.0004789880425146851,0.010709590695775408,1.75,4.029379994522287,-0.0023641786588381175
0.6,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18062735834218796,0.011970919567166364,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,,,0.0,0.0,0.0,-0.0002167075044428035
0.6,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.17369747496881321,0.011476774160720104,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,,,0.0,0.0,0.0,-0.007146590877817549
0.8,Baseline,0.0,0.65,2,50,0.5,0.2,0.2,0.18084406584663076,0.0119279244679064,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,,,0.0,0.0,0.0,0.0
0.8,EDE-Smoothed,0.4,0.65,2,50,0.5,0.2,0.2,0.17842482395982134,0.01197307589062316,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.012480655845108326,0.00010836418592230295,0.011787707887867056,0.0001993489843624525,0.0,0.0,0.0,-0.00241924188680942
0.8,EDE-Unsmooth,0.4,0.65,2,50,0.0,0.2,0.2,0.17834825290779394,0.011997857495668502,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,0.014334098360649852,0.0001474970824514646,0.013320051538829356,0.0004678015097588208,0.0,0.0,0.0,-0.0024958129388368278
0.8,Random-Injection,0.4,0.65,2,50,0.5,0.2,0.2,0.18062735834218796,0.011970919567166364,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,,,0.0,0.0,0.0,-0.0002167075044428035
0.8,Epsilon-Greedy,0.4,0.65,2,50,0.5,0.2,0.2,0.17369747496881321,0.011476774160720104,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,0.0,,,,,0.0,0.0,0.0,-0.007146590877817549
